min_fit
[1] 126903624988318.360000
[2] 126897618841981.560000
[3] 126883512362504.270000
[4] 126878913838840.690000
[5] 126866256553091.120000
[6] 126859629842457.440000
[7] 126855199853686.220000
[8] 126859629842457.440000
[9] 126858169249867.910000
[10] 126859629842457.440000
[11] 126859629842457.440000
[12] 126856626247838.030000
[13] 126856886406329.220000
[14] 126855639091456.590000
[15] 126855639091456.590000
[16] 126855639091456.590000
[17] 126855639091456.590000
[18] 126813720943792.360000
[19] 126811466003271.110000
[20] 126813720943792.360000
[21] 126813720943792.360000
[22] 126813720943792.360000
[23] 126813720943792.360000
[24] 126813720943792.360000
[25] 126813720943792.360000
[26] 126813720943792.360000
[27] 126810755814912.370000
[28] 126810755814909.360000
[29] 126810489994100.280000
[30] 126784611871870.190000
[31] 126784611871870.190000
[32] 126784611871870.190000
[33] 126784611871870.190000
[34] 126784579299750.780000
[35] 126744493480288.830000
[36] 126744493480288.830000
[37] 126744493480288.830000
[38] 126742699793348.660000
[39] 126742699793348.660000
[40] 126742429590616.160000
[41] 126742429590612.030000
[42] 126742429590612.030000
[43] 126742429590612.030000
[44] 126740367137582.000000
[45] 126740367137571.500000
[46] 126740367137571.500000
[47] 126740367137571.500000
[48] 126740367137571.500000
[49] 126330589601269.970000
[50] 126330589601269.970000
[51] 126327608614883.800000
[52] 126327154268915.910000
[53] 126327608614883.800000
[54] 126287092552243.640000
[55] 126287092552243.640000
[56] 126287092552236.800000
[57] 126287092552243.640000
[58] 126287092552236.800000
[59] 126286311965192.810000
[60] 126286311965192.810000
[61] 126286311965192.810000
[62] 126286311965192.810000
[63] 126286311965192.810000
[64] 126286311965192.810000
