0	21.837	2.9624	-4.34	3.7551	1.64	1.6884	-12.526	3.3873	-14.071	3.924	9.7871	2.3349	0	0.008562	0.933341	0.033819	0	0	-0.050253	0.024752	0.00088284	0.020899	0.13761	0.015715	1.0378	0.043794	-27.049	18.067	0.42834	13.545	27.856	40.191	0.13908	0.03182	0	1	0	1	0.050956246	0.065746957
1	21.643	3.0384	-5.0143	3.8002	0.84286	1.9281	-13.372	3.3251	-15.77	3.891	9.0886	2.2642	0	0.00088	0.929511	0.035102	0.10164	0.058062	-0.054242	0.028786	0.0059953	0.02024	0.1368	0.015486	1.0059	0.039788	-20.007	18.384	-5.6273	20.593	69.529	55.025	0.16059	0.033395	0	1	0	1	0.076062171	0.070337911
2	21.657	3.1266	-5.99	3.9799	0.35571	1.9753	-13.662	3.3058	-16.886	3.9045	8.4743	2.3024	0.015672	0.00088	0.928921	0.035316	0.18705	0.084833	-0.053957	0.030186	0.0081109	0.019202	0.13364	0.016404	0.96864	0.058221	-14.118	17.387	-9.7938	22.977	96.165	58.672	0.16924	0.03209	0	1	0	1	0.10791932	0.075296505
3	21.697	3.2076	-7.3114	4.1499	-0.18857	1.9877	-13.835	3.2925	-18.194	3.9447	7.6286	2.4322	0.031527	0.001915	0.928571	0.035481	0.28866	0.10483	-0.052138	0.030756	0.0097684	0.017632	0.12803	0.018339	0.91531	0.084744	-7.0507	15.394	-14.372	24.192	123.76	57.089	0.17538	0.029129	0	1	0	1	0.142602138	0.077367144
4	21.746	3.276	-8.8986	4.28	-0.73	1.9511	-13.886	3.2969	-19.713	4.0151	6.5157	2.6693	0.047519	0.003073	0.928471	0.035598	0.40059	0.12689	-0.049312	0.030276	0.011012	0.015646	0.11966	0.021246	0.84484	0.11278	0.66887	12.871	-19.216	24.233	148.81	48.687	0.17675	0.026162	0	1	0	1	0.175966311	0.075138511
5	21.788	3.33	-10.66	4.3529	-1.2157	1.8656	-13.786	3.312	-21.456	4.1119	5.1057	3.005	0.063592	0.004295	0.928641	0.035653	0.51879	0.14942	-0.04642	0.028443	0.012091	0.013403	0.10847	0.024626	0.75816	0.13809	8.6693	11.371	-24.515	23.387	167.34	34.206	0.17164	0.027032	0	1	0	1	0.201610024	0.069190932
6	21.804	3.3695	-12.509	4.3685	-1.5729	1.7341	-13.527	3.3418	-23.431	4.2369	3.3857	3.4184	0.079689	0.005505	0.929111	0.035661	0.63826	0.15639	-0.044368	0.025162	0.013245	0.011109	0.094827	0.027759	0.65764	0.15867	16.954	12.445	-30.543	22.169	175.8	23.823	0.15924	0.032205	0	1	0	1	0.209995883	0.058647841
7	21.774	3.3977	-14.356	4.3293	-1.76	1.5982	-13.09	3.3885	-25.653	4.3824	1.3543	3.8614	0.095759	0.006639	0.929861	0.035622	0.7458	0.14346	-0.043536	0.020939	0.014428	0.0090899	0.079618	0.030011	0.54868	0.17174	25.744	14.944	-37.06	21.078	172.46	38.622	0.14	0.038777	0	1	0	1	0.198191875	0.05251796
8	21.682	3.4171	-16.137	4.2574	-1.74	1.509	-12.46	3.4472	-28.113	4.54	-0.96429	4.2911	0.111732	0.007633	0.930921	0.035558	0.8323	0.1214	-0.043785	0.016916	0.015445	0.0077353	0.063946	0.030862	0.43789	0.1782	35.167	17.251	-43.401	20.659	157.93	63.802	0.11488	0.045796	0	1	0	1	0.170087094	0.062644797
9	21.51	3.4317	-17.787	4.1639	-1.4971	1.507	-11.635	3.5164	-30.799	4.7037	-3.5171	4.6545	0.127562	0.008438	0.932251	0.035472	0.89735	0.10371	-0.044649	0.014483	0.016148	0.0072406	0.048797	0.029945	0.33616	0.17102	45.02	19.313	-48.884	21.523	134.58	84.667	0.087895	0.049384	0	1	0	1	0.132657603	0.077567676
10	21.246	3.4437	-19.259	4.0705	-1.0457	1.6144	-10.616	3.5928	-33.693	4.8537	-6.2214	4.914	0.143201	0.009033	0.933831	0.035375	0.94976	0.092792	-0.045325	0.014297	0.016317	0.0073772	0.035023	0.027296	0.25033	0.14917	54.397	21.596	-52.425	23.445	106.07	95.183	0.063055	0.048149	0	1	0	1	0.096206462	0.082552096
11	20.879	3.4563	-20.52	3.9919	-0.41286	1.8	-9.4093	3.6725	-36.761	4.9806	-8.97	5.0354	0.158614	0.009418	0.935631	0.035274	0.99325	0.081047	-0.045	0.015293	0.015754	0.0075477	0.02329	0.023298	0.17778	0.12369	61.792	23.66	-52.801	24.89	76.588	93.328	0.042124	0.044142	0	1	0	1	0.065959642	0.076084958
12	20.406	3.4716	-21.55	3.9393	0.36571	2.0164	-8.0284	3.7466	-39.949	5.0725	-11.633	5.0209	0.173758	0.0096	0.937571	0.035173	1.0306	0.065574	-0.043261	0.015929	0.014493	0.0072307	0.013934	0.018514	0.12107	0.095381	65.968	24.586	-49.754	24.46	49.821	80.39	0.02533	0.037948	0	1	0	1	0.040429866	0.064399446
13	19.825	3.4904	-22.344	3.9118	1.2386	2.2197	-6.497	3.8135	-43.199	5.1154	-14.086	4.8824	0.188606	0.009615	0.939631	0.035076	1.0607	0.04906	-0.04005	0.01542	0.012701	0.006335	0.006965	0.013636	0.073139	0.072536	66.397	24.1	-43.902	22.09	28.294	60.552	0.013832	0.029199	0	1	0	1	0.020168598	0.047352758
