min_fit
[1] 126900977814056.530000
[2] 126900977814056.530000
[3] 126878040403737.420000
[4] 126870504335506.160000
[5] 126870504335506.160000
[6] 126870504335506.160000
[7] 126870504335506.160000
[8] 126870504335506.160000
[9] 126870504335506.160000
[10] 126863273091667.250000
[11] 126812533963119.520000
[12] 126870504335506.160000
[13] 126870504335506.160000
[14] 126870504335506.160000
[15] 126858716310806.580000
[16] 126870504335506.160000
[17] 126870504335506.160000
[18] 126870504335506.160000
[19] 126393833301361.470000
[20] 126393833301361.470000
[21] 126393833301361.470000
[22] 126393833301361.230000
[23] 126391911430294.980000
[24] 126375033003739.620000
[25] 126342922239842.640000
[26] 126342922239147.450000
[27] 126338245705449.310000
[28] 126318466617349.000000
[29] 126338245705449.310000
[30] 126338245705449.310000
[31] 126338245705449.310000
[32] 126338245705449.310000
[33] 126338245705449.310000
[34] 126338245705449.310000
[35] 126338245705449.310000
[36] 126324900279079.610000
[37] 126324900279079.610000
[38] 126323987274426.660000
[39] 126323987274381.270000
[40] 126324900279079.610000
[41] 126315943054417.910000
[42] 126315943054417.910000
[43] 126302274000283.610000
[44] 126302274000175.280000
[45] 126302274000175.280000
[46] 126302274000175.280000
[47] 126302274000175.280000
[48] 126297117432733.280000
[49] 126297117432721.830000
[50] 126297117432721.830000
[51] 126297117432721.830000
[52] 126297117432721.830000
[53] 126297117432733.280000
[54] 126297117432721.830000
[55] 126295965034485.190000
[56] 126297117432721.830000
[57] 126297117432721.830000
[58] 126297117432721.830000
[59] 126297117432721.830000
[60] 126295965034485.190000
[61] 126297117432721.830000
[62] 126297117432721.830000
[63] 126297117432721.830000
