179: min fit = 0.0163843, time = 0
180: min fit = 0.0163843, time = 0
181: min fit = 0.00622744, time = 0
182: min fit = 0.0185679, time = 0
183: min fit = 0.0390951, time = 0
184: min fit = 0.0762694, time = 0
185: min fit = 0.0762694, time = 0
186: min fit = 0.0310529, time = 0
187: min fit = 0.0231851, time = 0
188: min fit = 0.0231851, time = 1
189: min fit = 0.0231851, time = 0
190: min fit = 0.0159251, time = 0
191: min fit = 0.00634585, time = 0
192: min fit = 0.00634585, time = 0
193: min fit = 0.00634585, time = 0
194: min fit = 0.00634585, time = 0
195: min fit = 0.00634585, time = 0
196: min fit = 0.00634585, time = 0
197: min fit = 0.00208438, time = 0
198: min fit = 0.00208438, time = 0
199: min fit = 0.00208438, time = 0
200: min fit = 0.0159251, time = 0
201: min fit = 0.0159251, time = 0
202: min fit = 0.0159251, time = 0
203: min fit = 0.0159251, time = 0
204: min fit = 0.00127832, time = 0
205: min fit = 0.0159251, time = 0
206: min fit = 0.0159251, time = 1
207: min fit = 0.0159251, time = 0
208: min fit = 0.0159251, time = 0
209: min fit = 0.0159251, time = 0
210: min fit = 0.0159251, time = 0
211: min fit = 0.0102656, time = 0
212: min fit = 0.00313698, time = 0
213: min fit = 0.00313698, time = 0
214: min fit = 0.00313698, time = 0
215: min fit = 0.0159251, time = 0
216: min fit = 0.00323631, time = 0
217: min fit = 0.00945385, time = 1
218: min fit = 0.00945385, time = 0
219: min fit = 0.00945385, time = 0
220: min fit = 0.00945385, time = 0
221: min fit = 0.00945385, time = 0
222: min fit = 0.00945385, time = 0
223: min fit = 0.00983362, time = 0
224: min fit = 0.00983362, time = 0
225: min fit = 0.00983362, time = 0
226: min fit = 0.00983362, time = 0
227: min fit = 0.00983362, time = 0
228: min fit = 0.00983362, time = 0
229: min fit = 0.00983362, time = 1
230: min fit = 0.00983362, time = 0
231: min fit = 0.00983362, time = 0
232: min fit = 0.00983362, time = 0
233: min fit = 0.00983362, time = 0
234: min fit = 0.00983362, time = 0
235: min fit = 0.00983362, time = 0
236: min fit = 0.00983362, time = 0
237: min fit = 0.00983362, time = 0
238: min fit = 0.00983362, time = 1
239: min fit = 0.00983362, time = 0
240: min fit = 0.00983362, time = 0
241: min fit = 0.00983362, time = 0
242: min fit = 0.00983362, time = 0
243: min fit = 0.00983362, time = 0
244: min fit = 0.00983362, time = 0
245: min fit = 0.00983362, time = 0
246: min fit = 0.00983362, time = 0
247: min fit = 0.00983362, time = 0
248: min fit = 0.00983362, time = 0
249: min fit = 0.00983362, time = 0
250: min fit = 0.00983362, time = 0
251: min fit = 0.00401924, time = 1
252: min fit = 0.00401924, time = 0
253: min fit = 0.00401924, time = 0
254: min fit = 0.00874251, time = 0
255: min fit = 0.00874251, time = 0
256: min fit = 0.00983362, time = 0
257: min fit = 0.00983362, time = 0
258: min fit = 0.00983362, time = 0
259: min fit = 0.00983362, time = 0
260: min fit = 0.00983362, time = 0
261: min fit = 0.00983362, time = 0
262: min fit = 0.00983362, time = 0
263: min fit = 0.00983362, time = 0
264: min fit = 0.000745406, time = 0
265: min fit = 0.00983362, time = 0
266: min fit = 0.00983362, time = 0
267: min fit = 0.00983362, time = 1
268: min fit = 0.00983362, time = 0
269: min fit = 0.00983362, time = 0
270: min fit = 0.00983362, time = 0
271: min fit = 0.0091241, time = 0
272: min fit = 0.00302177, time = 0
273: min fit = 0.00302177, time = 0
274: min fit = 0.00302177, time = 0
275: min fit = 0.00302177, time = 0
276: min fit = 0.00302177, time = 1
277: min fit = 0.00302177, time = 0
278: min fit = 0.00302177, time = 0
279: min fit = 0.00302177, time = 0
280: min fit = 0.00302177, time = 0
281: min fit = 0.00302177, time = 0
282: min fit = 0.00302177, time = 0
283: min fit = 0.00302177, time = 0
284: min fit = 0.00302177, time = 0
285: min fit = 0.00302177, time = 0
286: min fit = 0.00245608, time = 0
287: min fit = 0.00245608, time = 0
288: min fit = 0.00245608, time = 1
289: min fit = 0.00245608, time = 0
290: min fit = 0.00245608, time = 0
291: min fit = 0.00245608, time = 0
292: min fit = 0.00245608, time = 0
293: min fit = 0.00245608, time = 0
294: min fit = 0.00245608, time = 0
295: min fit = 0.00245608, time = 0
296: min fit = 0.00245608, time = 0
297: min fit = 0.00245608, time = 0
298: min fit = 0.00245608, time = 0
299: min fit = 0.00245608, time = 0
300: min fit = 0.00245608, time = 0
301: min fit = 0.00245608, time = 0
302: min fit = 0.00245608, time = 0
303: min fit = 0.00245608, time = 1
304: min fit = 0.00245608, time = 0
305: min fit = 0.00245608, time = 0
306: min fit = 0.00245608, time = 0
307: min fit = 0.00245608, time = 0
308: min fit = 0.00245608, time = 0
309: min fit = 0.00245608, time = 0
310: min fit = 0.00245608, time = 0
311: min fit = 0.00207914, time = 0
312: min fit = 0.00207914, time = 0
313: min fit = 0.00207914, time = 0
314: min fit = 0.00207914, time = 0
315: min fit = 0.00207914, time = 0
316: min fit = 0.00207914, time = 0
317: min fit = 0.00207914, time = 1
318: min fit = 0.00207914, time = 0
319: min fit = 0.00207914, time = 0
320: min fit = 0.00207914, time = 0
321: min fit = 0.00207914, time = 0
322: min fit = 0.00207914, time = 0
323: min fit = 0.00207914, time = 0
324: min fit = 0.00207914, time = 0
325: min fit = 0.00207914, time = 0
326: min fit = 0.00207914, time = 0
327: min fit = 0.00207914, time = 0
328: min fit = 0.00207914, time = 0
329: min fit = 0.00207914, time = 0
330: min fit = 0.00133944, time = 0
331: min fit = 0.00207914, time = 0
332: min fit = 0.00207914, time = 1
333: min fit = 0.000801925, time = 0
334: min fit = 0.00983362, time = 0
335: min fit = 0.00577383, time = 0
336: min fit = 0.00983362, time = 0
337: min fit = 0.00983362, time = 0
338: min fit = 0.00983362, time = 0
339: min fit = 0.00983362, time = 0
340: min fit = 0.00737985, time = 0
341: min fit = 0.00737985, time = 0
342: min fit = 0.00737985, time = 0
343: min fit = 0.00737985, time = 0
344: min fit = 0.0067769, time = 0
345: min fit = 0.0067769, time = 0
346: min fit = 0.0067769, time = 0
347: min fit = 0.0067769, time = 0
348: min fit = 0.0067769, time = 0
349: min fit = 0.0067769, time = 1
350: min fit = 0.00337593, time = 0
351: min fit = 0.0067769, time = 0
352: min fit = 0.0067769, time = 0
353: min fit = 0.0067769, time = 0
354: min fit = 0.0067769, time = 0
355: min fit = 0.00440617, time = 0
356: min fit = 0.0067769, time = 0
357: min fit = 0.00264773, time = 0
358: min fit = 0.00264773, time = 0
359: min fit = 0.00264773, time = 0
360: min fit = 0.00264773, time = 0
361: min fit = 0.00264773, time = 1
362: min fit = 0.00549555, time = 0
363: min fit = 0.00549555, time = 0
364: min fit = 0.00259965, time = 0
365: min fit = 0.00549555, time = 0
366: min fit = 0.001202, time = 0
367: min fit = 0.001202, time = 0
368: min fit = 0.001202, time = 0
369: min fit = 0.001202, time = 0
370: min fit = 0.001202, time = 0
371: min fit = 0.001202, time = 0
372: min fit = 0.001202, time = 0
373: min fit = 0.00549555, time = 1
